Time,Rotor Speed (omega),Aerodynamic Torque (T_m),Wind Speed,Pitch Angle
39.43943943943944,inf,-0.0,6.562015467638028,4.218998172282017
39.53953953953954,inf,-0.0,6.548173466918723,4.209792752173933
39.63963963963964,inf,-0.0,6.534476938439459,4.200607126775431
39.73973973973974,inf,-0.0,6.520927254585045,4.191441526186635
39.83983983983984,inf,-0.0,6.507525773026536,4.182296180006049
39.93993993993994,inf,-0.0,6.494273836585199,4.173171317324805
40.04004004004004,inf,-0.0,6.481172773097957,4.16406716672092
40.14014014014014,inf,-0.0,6.468223895284346,4.154983956253575
40.24024024024024,inf,-0.0,6.455428500614981,4.145921913457398
40.34034034034034,inf,-0.0,6.442787871181543,4.13688126533677
40.44044044044044,inf,-0.0,6.430303273568325,4.12786223836013
40.54054054054054,inf,-0.0,6.41797595872531,4.118865058454312
40.64064064064064,inf,-0.0,6.405807161842837,4.109889950998876
40.74074074074074,inf,-0.0,6.3937981022278265,4.100937140820469
40.84084084084084,inf,-0.0,6.381949983181612,4.09200685218719
40.94094094094094,inf,-0.0,6.370263991879368,4.083099308802974
41.04104104104104,inf,-0.0,6.358741299251157,4.074214733801984
41.14114114114114,inf,-0.0,6.3473830598646,4.065353349743029
41.24124124124124,inf,-0.0,6.336190411809193,4.056515378603979
41.34134134134134,inf,-0.0,6.325164476582269,4.0477010417762145
41.44144144144144,inf,-0.0,6.314306358976625,4.038910560059074
41.54154154154154,inf,-0.0,6.30361714696982,4.030144153654324
41.64164164164164,inf,-0.0,6.293097911615167,4.021402042160646
41.74174174174174,inf,-0.0,6.282749706934408,4.012684444568131
41.84184184184184,inf,-0.0,6.2725735698121,4.003991579252798
41.94194194194194,inf,-0.0,6.262570519891728,3.9953236639711225
42.04204204204204,inf,-0.0,6.252741559473527,3.9866809158545786
42.14214214214214,inf,-0.0,6.243087673414063,3.9780635514042046
42.24224224224224,inf,-0.0,6.23360982902754,3.969471786485176
42.34234234234234,inf,-0.0,6.224308975988883,3.9609058363214005
42.44244244244244,inf,-0.0,6.21518604623858,3.9523659154901245
42.54254254254254,inf,-0.0,6.206241953889298,3.94385223791656
42.64264264264264,inf,-0.0,6.197477595134295,3.9353650168685244
42.74274274274275,inf,-0.0,6.188893848157616,3.9269044649510976
42.84284284284285,inf,-0.0,6.180491573046108,3.9184707941012995
42.94294294294295,inf,-0.0,6.17227161170323,3.9100642155827767
43.04304304304305,inf,-0.0,6.1642347877647,3.901684939980513
43.14314314314315,inf,-0.0,6.156381906515967,3.893333177195553
43.24324324324325,inf,-0.0,6.148713754811521,3.885009136439745
43.34334334334335,inf,-0.0,6.14123110099605,3.8767130262305
43.44344344344345,inf,-0.0,6.133934694827455,3.868445054385568
43.54354354354355,inf,-0.0,6.12682526740172,3.8602054280178315
43.64364364364365,inf,-0.0,6.11990353107966,3.85199435353012
43.74374374374375,inf,-0.0,6.113170179415543,3.8438120366100366
43.84384384384385,inf,-0.0,6.106625887087596,3.835658682224806
43.94394394394395,inf,-0.0,6.1002713098304,3.827534494616142
44.04404404404405,inf,-0.0,6.094107084369187,3.8194396772951293
44.14414414414415,inf,-0.0,6.088133828356044,3.811374433037127
44.24424424424425,inf,-0.0,6.082352140308021,3.803338963876687
